"GlenDronach 18yo Allardice","8.75","0.38","18","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 50)","8.74","0.34","7","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach 18yo Tawny Port Finish","8.74","0.39","6","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach 21yo Parliament","8.74","0.36","17","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenfarclas 105","8.74","0.36","24","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfarclas 25yo","8.74","0.28","14","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glengoyne Cask Strength (batch 1)","8.74","0.47","4","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenmorangie Nectar d'Or","8.74","0.28","22","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Highland Park 15yo Fire","8.74","0.37","9","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Longmorn 16yo","8.74","0.33","17","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"AnCnoc 22yo","8.73","0.31","9","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Springbank 13yo Green","8.73","0.30","6","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Teerenpeli Distiller’s Choice KARHI","8.73","0.12","3","$$$$","SingleMalt-like","ABC","C","Finland","Malt"
"Glenrothes Minister's Reserve","8.72","0.17","4","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Redbreast Lustau Edition","8.72","0.30","13","$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Sheep Dip 1999 Amoroso Blended Malt","8.71","0.53","3","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Smogen Sherry Project 1:1","8.71","0.12","3","$$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"Springbank 15yo","8.71","0.22","19","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 1824 Rare Cask","8.70","0.40","10","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Macallan 1824 Sienna","8.70","0.33","18","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Oban Distillers Edition (all vintages)","8.70","0.22","13","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Amrut Bengal Tiger PX Single Cask (Canada)","8.69","0.25","4","$$$$","SingleMalt-like","ABC","C","India","Malt"
"Highland Park 15yo","8.69","0.22","13","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Knappogue Castle 16yo Twin Wood","8.69","0.48","6","$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Aberlour 16yo Double Cask Matured","8.68","0.18","13","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glencadam 14yo Oloroso Sherry Cask Finish","8.68","0.45","5","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glengoyne Cask Strength (batch 2)","8.68","0.41","3","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenmorangie A Midwinter Night’s Dram","8.68","0.29","5","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenmorangie Taghta","8.68","0.30","10","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Mortlach 15yo (Gordon & MacPhail)","8.68","0.35","13","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Ohishi Sherry Cask","8.68","0.42","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Tomatin 18yo","8.68","0.22","11","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 38)","8.67","0.18","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
